GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common,demo.ms.common,Person,0,76,2,8,0,14,2,9,0,6
common,demo.ms.common,Json,7,23,0,0,2,6,0,4,0,4
common,demo.ms.common,PersonEvent.Operation,0,27,0,0,0,5,0,1,0,1
common,demo.ms.common,PersonEvent,2,56,2,6,1,11,2,7,0,5
