GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service-b,demo.ms.serviceb.api,Activator,5,21,1,1,3,9,2,3,1,3
service-b,demo.ms.serviceb.api,KafkaPersonEventConsumer,4,202,4,20,3,54,4,14,0,6
service-b,demo.ms.serviceb.api,PersonEventHandler,0,47,3,12,0,16,3,7,0,2
service-b,demo.ms.serviceb.api,RedisPersonRepository,0,82,3,15,0,22,3,12,0,6
service-b,demo.ms.serviceb.api,Env,8,36,9,7,1,13,7,3,0,2
service-b,demo.ms.serviceb.api,ServiceB,5,68,1,1,2,18,2,3,1,3
service-b,demo.ms.serviceb.api,JedisKeyValueStore,29,24,1,3,8,7,4,3,3,2
